node_id,day_utc,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-14,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-15,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-16,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-17,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-18,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-19,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-20,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-21,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0.0868939181145754
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-22,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-23,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-24,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-25,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-26,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-27,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-28,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-29,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-30,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2025-12-31,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2026-1-1,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2026-1-2,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2026-1-3,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0.00045114409017327255
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2026-1-4,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2026-1-5,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0.0019598312390229004
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2026-1-6,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2026-1-7,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2026-1-8,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2026-1-9,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2026-1-10,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2026-1-11,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,2026-1-12,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-14,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-15,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-16,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-17,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-18,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-19,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-20,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-21,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0.0868939181145754
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-22,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-23,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-24,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-25,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-26,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-27,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-28,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-29,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-30,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2025-12-31,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2026-1-1,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2026-1-2,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2026-1-3,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0.00045114409017327255
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2026-1-4,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2026-1-5,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0.0019598312390229004
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2026-1-6,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2026-1-7,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2026-1-8,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2026-1-9,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2026-1-10,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2026-1-11,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
5zrsg-qcrev-mm3cc-km55r-kk2ug-w6dkh-ljlnk-vj26z-yqmez-ftbfk-xqe,2026-1-12,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-14,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-15,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-16,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-17,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-18,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-19,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-20,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-21,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0.0868939181145754
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-22,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-23,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-24,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-25,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-26,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-27,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-28,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-29,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-30,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2025-12-31,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2026-1-1,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2026-1-2,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2026-1-3,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0.00045114409017327255
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2026-1-4,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2026-1-5,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0.0019598312390229004
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2026-1-6,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2026-1-7,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2026-1-8,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2026-1-9,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2026-1-10,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2026-1-11,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6qzmz-5jtwm-kuv6j-wa3dv-n7yse-ex5rl-vmbx5-suunp-hdqxe-bnerj-iqe,2026-1-12,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-14,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-15,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-16,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-17,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-18,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-19,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-20,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-21,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0.0868939181145754
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-22,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-23,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-24,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-25,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-26,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-27,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-28,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-29,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-30,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2025-12-31,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2026-1-1,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2026-1-2,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2026-1-3,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0.00045114409017327255
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2026-1-4,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2026-1-5,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0.0019598312390229004
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2026-1-6,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
6ucn7-aiavt-uucq2-cvnjf-nwmr5-vetsg-q73h7-uzqjt-klm5x-e7qxu-mqe,2026-1-7,type1.1,"Europe,CH,Zurich",zh5,Unassigned,1,373223.81930184807,373223.81930184807,,,,,,,0
